,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
2111," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Modified Vee,10 year,24',"Mamaroneck, NY",Wellcraft,,Single Outboard,2017,Wellcraft,242 Fisherman,Request,2017
2112," Jet Boats, Ski and Wakeboard Boats",Power,Gas,FGBL0124H516,Fiberglass,Modified Vee,,24',"Hesston, PA",Chaparral,,Single Inboard,2016,Chaparral,243 VRX,"$59,995",2016
2113, Pontoon Boats,Power,Gas,,Roplene,Pontoon,99 year,24',"Greentown, PA",Windsor Craft,,Other,2004,Windsor Craft,240,"$16,999",2004
2114," Deck Boats, Ski and Fish",Power,Gas,JNT27329F717,Fiberglass,Modified Vee,99 year,24',"Clayton, NY",NauticStar,,Single Outboard,2017,NauticStar,243DC Sport Deck,"$55,995",2017
2115," Deck Boats, Bowrider, Runabouts",Power,Other,RGMGF244A313,Fiberglass,Deep Vee,,24',"Bridgeport, NY",Regal,,Other,2013,Regal,24 FasDeck,"$42,999",2013
2116," Deck Boats, Ski and Fish",Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Middletown, PA",Starcraft,,Other,2017,Starcraft,Crossover 250 SCX IO,Request,2017
2117, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Middletown, PA",Sweetwater,,Single Outboard,2016,Sweetwater,2486,Request,2016
2118, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Middletown, PA",Sweetwater,,Single Outboard,2016,Sweetwater,2486,Request,2016
2119, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Middletown, PA",Sweetwater,,Single Outboard,2016,Sweetwater,2486,Request,2016
2120, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Temple, PA",Fisher,,Other,2008,Fisher,Freedom 220 DLX,"$7,495",2008
2121, Cruisers,Power,Gas,,Fiberglass,Deep Vee,5 year,24',"Island Park, NY",Monterey,,Other,1999,Monterey,242 Cruiser,"$14,889",1999
2122, Pontoon Boats,Power,,BUJ43261F718,Aluminum,Pontoon,,24',"Auburn, NY",Sun Tracker,"

Base Price: $32,395
Prep: $475
Freight: $1,250
Your Price: $34,120

",Single Outboard,2018,Sun Tracker,Party Barge 22 XP3,"$34,120",2018
2123, Pontoon Boats,Power,,BUJ42923F718,Aluminum,Pontoon,,24',"Utica, NY",Sun Tracker,"

Base Price: $25,395
Prep: $475
Freight: $1,250
Your Price: $27,120

",Single Outboard,2018,Sun Tracker,Party Barge 22 DLX,"$27,120",2018
2124, Pontoon Boats,Power,,BUJ42424F718,Aluminum,Pontoon,,24',"Utica, NY",Sun Tracker,"

Base Price: $24,995
Prep: $475
Freight: $1,250
Your Price: $26,720

",Single Outboard,2018,Sun Tracker,Fishin' Barge 22 DLX,"$26,720",2018
2125, Pontoon Boats,Power,,BUJ46668G718,Aluminum,Pontoon,,24',"Temple, PA",Sun Tracker,"

Base Price: $24,995
Prep: $475
Freight: $1,250
Your Price: $26,720

",Single Outboard,2018,Sun Tracker,Fishin' Barge 22 DLX,"$26,720",2018
2126, Pontoon Boats,Power,,BUJ49396H718,Aluminum,Pontoon,,24',"Temple, PA",Sun Tracker,"

Base Price: $25,395
Included Options: $5,045
Prep: $475
Freight: $1,250
Your Price: $32,165

",Single Outboard,2018,Sun Tracker,Party Barge 22 DLX,"$32,165",2018
2127, Pontoon Boats,Power,,BUJ34495F617,Aluminum,Pontoon,,24',"Auburn, NY",Sun Tracker,"

Base Price: $23,995
Included Options: $3,820
Prep: $475
Freight: $1,250
Your Price: $29,540

",Single Outboard,2017,Sun Tracker,Party Barge 22 DLX,"$29,540",2017
2128, Pontoon Boats,Power,,BUJ20031D717,Aluminum,Pontoon,,24',"Auburn, NY",Sun Tracker,,Single Outboard,2017,Sun Tracker,Party Barge 22 DLX,Request,2017
2129, Pontoon Boats,Power,,BUJ39263H617,Aluminum,Pontoon,,24',"Rochester, NY",Sun Tracker,"

Base Price: $22,995
Included Options: $3,860
Prep: $475
Freight: $1,250
Your Price: $28,580

",Single Outboard,2017,Sun Tracker,Fishin' Barge 22 DLX,"$28,580",2017
2130, Pontoon Boats,Power,,BUJ16110C717,Aluminum,Pontoon,,24',"Lake Hopatcong, NJ",Sun Tracker,"

Base Price: $31,395
Included Options: $1,215
Prep: $475
Freight: $1,250
Your Price: $34,335

",Other,2017,Sun Tracker,Party Barge 22 XP3,"$34,335",2017
2131, Pontoon Boats,Power,,BUJ47656K617,Aluminum,Pontoon,,24',"Lake Hopatcong, NJ",Sun Tracker,"

Base Price: $27,395
Included Options: $4,680
Prep: $475
Freight: $1,250
Your Price: $33,800

",Single Outboard,2017,Sun Tracker,Party Barge 22 DLX,"$33,800",2017
2132, Pontoon Boats,Power,Gas,BUJ20177D717,Aluminum,Pontoon,99 year,24',"Harrisburg, PA",Sun Tracker,"

Base Price: $23,995
Savings: $1,000
Special Price: $22,995
Included Options: $4,365
Prep: $475
Freight: $1,250
Your Price: $29,085

",Other,2017,Sun Tracker,Party Barge 22 DLX,"$29,085",2017
2133, Pontoon Boats,Power,,BUJ47327J617,Aluminum,Pontoon,,24',"Morristown, NY",Sun Tracker,"

Base Price: $31,395
Included Options: $3,195
Prep: $475
Freight: $1,250
Your Price: $36,315

",Other,2017,Sun Tracker,Party Barge 22 XP3,"$36,315",2017
2134, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Middletown, PA",Sweetwater,,Single Outboard,2016,Sweetwater,Premium Edition 220 DL,Request,2016
2135, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Middletown, PA",Sweetwater,,Single Outboard,2016,Sweetwater,Premium Edition 220,Request,2016
2136, Cruisers,Power,Gas,,Fiberglass,,,24',"Lake George, NY",Glastron,,Other,2005,Glastron,GS 249,"$22,900",2005
2137," Runabouts, Deck Boats",Power,Gas,,Fiberglass,Deep Vee,99 year,24',"Green Brook, NJ",Chaparral,,Other,2009,Chaparral,SSX 236,"$34,995",2009
2138," Deck Boats, Ski and Fish",Power,Gas,,Fiberglass,Modified Vee,99 year,24',"Middletown, PA",Starcraft,,Single Outboard,2017,Starcraft,Coastal 2410 OB,Request,2017
2139, Other,Power,Other,,Fiberglass,Other,,24',"Oceanside, NY",Mach 1,,Other,1992,Mach 1,MV2450CC Magnum,"$5,995",1992
2140, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,24',"Fairfield, CT",Albemarle,,Single Inboard,1989,Albemarle,Albemarle Express 24,"$18,500",1989
2141, Other,Power,Gas,,Fiberglass,Other,,24',"Oceanside, NY",Albemarle,,Other,1987,Albemarle,CUDDY CABIN,"$9,950",1987
2142, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Hawley, PA",APEX MARINE,,Single Outboard,2017,APEX MARINE,823 Lanai,"$34,995",2017
2143, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Duncannon, PA",Aqua Patio,,Single Outboard,2017,Aqua Patio,AP 235 C,Request,2017
2144, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Quakertown,, PA",Aqua Patio,,Single Outboard,2017,Aqua Patio,AP 235 SB,"$35,189",2017
2145, Bowrider,Power,,,Fiberglass,Other,,24',"Ogdensburg, NY",Azure,,Other,2007,Azure,220 Sport Deck,"$26,000",2007
2146, Bowrider,Power,,,Fiberglass,Other,,24',"Ogdensburg, NY",Azure,,Other,2007,Azure,220 Sport Deck,"$26,000",2007
2147, Deck Boats,Power,Other,,Fiberglass,Other,,24',"Hesston, PA",Azure,,Other,2009,Azure,AZ240,Request,2009
2148," Unspecified, Other",Power,Other,,Other,Other,,24',"Allentown, PA",Baja,,Other,1995,Baja,Outlaw 24 SST,"$17,900",1995
2149," Unspecified, Other",Power,Other,,Other,Other,,24',"Massena, NY",Baja,,Other,2008,Baja,245,"$50,000",2008
2150," Unspecified, Other",Power,Gas,,Other,Other,,24',"Syracuse, NY",Baja,,Other,2006,Baja,H2X,"$31,499",2006
2151, Pontoon Boats,Power,Gas,,Aluminum,,,24',"Hesston, PA",South Bay,,Single Outboard,2017,South Bay,224FCR 2,Request,2017
2152, Pontoon Boats,Power,,,Fiberglass,,,24',"Greentown, PA",South Bay,,Other,2015,South Bay,424RS 2.75,"$32,999",2015
2153, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 CR,Request,2017
2154, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 FCR,Request,2017
2155, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 FCR,Request,2017
2156, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 RS,Request,2017
2157, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 CR,Request,2017
2158, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 FCR,Request,2017
2159, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 CR,Request,2017
2160, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 RS,Request,2017
2161, Pontoon Boats,Power,Other,,Other,Other,,24',"Hesston, PA",South Bay,,Other,2017,South Bay,224 FCR,Request,2017
2162," Pontoon Boats, Deck Boats",Power,Gas,FRU35936H617,Aluminum,Pontoon,99 year,24',"Brant Lake, NY",South Bay,,Other,2017,South Bay,224CR,"$36,292",2017
2163, Pontoon Boats,Power,,,Aluminum,,,24',"Greentown, PA",South Bay,,Other,2017,South Bay,224E,"$37,999",2017
2164, Pontoon Boats,Power,,,Aluminum,,,24',"Greentown, PA",South Bay Pontoons,,Other,2013,South Bay Pontoons,724SL Tri Toon,"$29,999",2013
2165, Pontoon Boats,Power,,,Aluminum,,,24',"Greentown, PA",South Bay Pontoons,,Other,2015,South Bay Pontoons,S224RS Sport Tube,"$29,999",2015
2166, Cuddy Cabin,Power,,,Fiberglass,,,24',"Seaford, NY",Bayliner,,Other,2004,Bayliner,24,"$13,990",2004
2167, Cruisers,Power,Gas,USDA46XEL506,Fiberglass,,,24',"New Windsor, NY",Bayliner,,Other,2006,Bayliner,242 Ciera Hardtop,"$29,900",2006
2168," Unspecified, Other",Power,Gas,,Other,Other,,24',"Brunswick, NY",Bayliner,,Other,2007,Bayliner,245 CIERA,"$29,000",2007
2169, Cruisers,Power,Gas,,Fiberglass,Modified Vee,,24',"Port Deposit, MD",Bayliner,,Other,2006,Bayliner,245,"$22,900",2006
2170," Unspecified, Other",Power,Gas,,Other,Other,,24',"Lowville, NY",Bayliner,,Other,1999,Bayliner,2452 Ciera Express,"$20,250",1999
2171, Express Cruiser,Power,Other,,Other,Other,,24',"Ashville, NY",Bayliner,,Other,1997,Bayliner,2452 EXPRESS,Request,1997
2172, Unspecified,Power,,,Fiberglass,,,24',"Tonawanda, NY",Bayliner,,Other,1994,Bayliner,2452 Classic Hardtop,"$7,900",1994
2173," Unspecified, Other",Power,Gas,,Other,Other,,24',"Muncy, PA",Bayliner,,Other,2000,Bayliner,2455 Ciera,"$18,500",2000
2174, Cruisers,Power,Gas,,Fiberglass,Deep Vee,,24',"Quakertown,, PA",Bayliner,,Other,1986,Bayliner,2455 Sunbridge,"$4,995",1986
2175, Cuddy Cabin,Power,Other,,Fiberglass,Other,,24',"N Tonawanda, NY",Bayliner,,Other,2010,Bayliner,245SB,"$39,995",2010
2176, Cuddy Cabin,Power,,,Fiberglass,,,24',"Elkton, MD",Bayliner,,Other,2000,Bayliner,Cuddy Cabin,"$13,000",2000
2177, Runabouts,Power,Gas,,Fiberglass,,,24',"Elkton, MD",Bayliner,,Other,2003,Bayliner,Ciera,"$16,000",2003
2178, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Lake Hopatcong, NJ",Palm Beach Pontoons,,Single Outboard,2016,Palm Beach Pontoons,Cruise RF 240,"$28,687",2016
2179, Pontoon Boats,Power,Other,,Other,Other,,24',"Alexandria Bay, NY",Bennington,,Other,2016,Bennington,22 SCWX,"$36,349",2016
2180, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Port Deposit, MD",Bennington,,Single Outboard,2017,Bennington,22SSBXP,Request,2017
2181, Pontoon Boats,Power,Other,,Aluminum,Other,,24',"Ticonderoga, NY",Bennington,,Other,2017,Bennington,23RSBW,Request,2017
2182, Pontoon Boats,Power,Other,,Other,Other,,24',"Milton, PA",Bennington,,Other,2018,Bennington,24 SLX,Request,2018
2183, Pontoon Boats,Power,Other,,Other,Other,,24',"Milton, PA",Bennington,,Other,2018,Bennington,24 SLX CRUISE,Request,2018
2184, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Union Springs, NY",Bennington,,Single Outboard,2014,Bennington,24 SCWX,"$29,900",2014
2185, Pontoon Boats,Power,Gas,,Aluminum,,,24',"Schroon Lake, NY",Bentley,,Other,2005,Bentley,243 Cruise,"$16,649",2005
2186, Center Consoles,Power,Diesel,,Fiberglass,,,24',"Long Island, NY",Bimini/Topaz,,Single Inboard,1988,Bimini/Topaz,24-foot Center/Cuddy,"$39,000",1988
2187, Jet Boats,Power,,,Fiberglass,,,24',"Derby, NY",Yamaha Sport Boat,,Other,2018,Yamaha Sport Boat,242X,Request,2018
2188," Unspecified, Other",Power,,,Other,Other,,24',"East Windsor, NJ",CARAVELLE BOATS,,Other,2003,CARAVELLE BOATS,24 WA,"$19,999",2003
2189, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,,24',"Lake Hopatcong, NJ",PREMIER BOATS,,Single Outboard,2013,PREMIER BOATS,240 Sunsation,"$16,900",2013
2190, Center Consoles,Power,,,Fiberglass,Other,,24',"Huntington, NY",EVERGLADES BOATS,,Other,2006,EVERGLADES BOATS,243 CC,"$39,000",2006
2191, Racers and Cruisers,Sails,,,Fiberglass,Other,,24',"Old Greenwich, CT",J Boats,,Other,1988,J Boats,4464,"$5,000",1988
2192, Racers and Cruisers,Sails,,,Fiberglass,Other,,24',"Old Greenwich, CT",J Boats,,Other,1988,J Boats,4464,"$5,000",1988
2193," Freshwater Fishing, Deck Boats",Power,,,Aluminum,,,24',"Middletown, PA",SEAARK BOATS INC,,Other,2017,SEAARK BOATS INC,Big Easy,Request,2017
2194," Sports Fishing Boats, Ski and Fish, Saltwater Fishing",Power,Gas,240DA0187,Fiberglass,Deep Vee,10 year,24',"Norwalk, CT",Boston Whaler,,Single Inboard,2017,Boston Whaler,240 Dauntless,Request,2017
2195, Saltwater Fishing,Power,Gas,240DA0106,Fiberglass,,,24',"Norwalk, CT",Boston Whaler,,Single Inboard,2017,Boston Whaler,240 Dauntless,Request,2017
2196, Daysailers,Sails,,,Fiberglass,,,24',"Mamaroneck, NY",C&C; Fiberglass,,Other,1976,C&C; Fiberglass,24,"$5,500",1976
2197, Bowrider,Power,Other,,Fiberglass,Other,,24',"Brookfield, CT",Campion,,Other,2003,Campion,705i Allante LS Bowrider,"$10,995",2003
2198, Center Consoles,Power,Gas,,Fiberglass,,,24',Freeport,Cape Horn,,Other,2018,Cape Horn,Center Console,"$105,000",2018
2199, Bowrider,Power,Gas,VCN20244E707,Fiberglass,,,24',"New Windsor, NY",Caravelle,,Other,2007,Caravelle,242 Bow Rider,"$26,900",2007
2200, Skiff,Power,,,Fiberglass,,,24',"Lackawanna, NY",Carolina Skiff,,Other,2014,Carolina Skiff,24 DLX,"$18,900",2014
2201, Pontoon Boats,Power,Gas,,Aluminum,,,24',"Union Springs, NY",Cypress Cay,,Single Outboard,2018,Cypress Cay,Cozumel 240 EGDH,Request,2018
2202, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Hewitt, NJ",Cypress Cay,,Other,2017,Cypress Cay,Cozumel 240,Request,2017
2203, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Hewitt, NJ",Cypress Cay,,Other,2017,Cypress Cay,Cabana 240,Request,2017
2204, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Ogdensburg, NY",Cypress Cay,,Other,2017,Cypress Cay,Cozumel 240,Request,2017
2205, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Ogdensburg, NY",Cypress Cay,,Other,2017,Cypress Cay,Cabana 240,Request,2017
2206, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Cypress Cay,,Other,2017,Cypress Cay,Cozumel 240,Request,2017
2207, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Cypress Cay,,Other,2017,Cypress Cay,Cabana 240,Request,2017
2208, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Hewitt, NJ",Cypress Cay,,Other,2017,Cypress Cay,Seabreeze 252,Request,2017
2209, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Ogdensburg, NY",Cypress Cay,,Other,2017,Cypress Cay,Seabreeze 252,Request,2017
2210, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Cypress Cay,,Other,2017,Cypress Cay,Seabreeze 252,Request,2017
2211, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Hewitt, NJ",Cypress Cay,,Other,2017,Cypress Cay,Seabreeze 253,Request,2017
2212, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Ogdensburg, NY",Cypress Cay,,Other,2017,Cypress Cay,Seabreeze 253,Request,2017
2213, Pontoon Boats,Power,,,Aluminum,Pontoon,99 year,24',"Pittsfield, MA",Cypress Cay,,Other,2017,Cypress Cay,Seabreeze 253,Request,2017
2214, Pontoon Boats,Power,Gas,US-HAMC8342L617,Aluminum,Pontoon,99 year,24',"Elkton, MD",CYPRESS CAY PONTOONS,,Other,2017,CYPRESS CAY PONTOONS,Seabreeze 253,Request,2017
2215," Unspecified, Other",Power,Gas,,Other,Other,,24',"Farmingdale, NY",Chaparral,,Other,2005,Chaparral,240 SIGNATURE,"$22,000",2005
2216," Unspecified, Other",Power,Gas,,Other,Other,,24',"Port Jervis, NY",Chaparral,,Other,1997,Chaparral,240 SIGNATURE,"$21,500",1997
2217, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,24',"Massapequa, NY",Chaparral,,Single Outboard,1997,Chaparral,240 Signature Series,"$10,000",1997
2218, Ski and Wakeboard Boats,Power,Other,,Fiberglass,Other,,24',"Hesston, PA",Chaparral,,Other,2016,Chaparral,Vortex 243,"$69,529",2016
2219," Jet Boats, Ski and Wakeboard Boats",Power,Gas,FGBL0226D616,Fiberglass,Modified Vee,,24',"Tonawanda, NY",Chaparral,,Twin Inboard,2016,Chaparral,243 Vortex VRX,"$64,900",2016
2220," Jet Boats, Ski and Wakeboard Boats",Power,Gas,,Fiberglass,Modified Vee,,24',"Tonawanda, NY",Chaparral,,Twin Inboard,2015,Chaparral,243 Vortex VR,"$57,900",2015
2221, Deck Boats,Power,Other,,Fiberglass,Other,,24',"Hesston, PA",Chaparral,,Other,2016,Chaparral,244 Sunesta,Request,2016
2222," Unspecified, Other",Power,Gas,,Other,Other,,24',"Staten Island, NY",Chaparral,,Other,2000,Chaparral,245SSI,"$14,999",2000
2223, Ski and Wakeboard Boats,Power,Other,,Fiberglass,Other,,24',"Milton, PA",Chaparral,,Other,2016,Chaparral,246 SSi,Request,2016
2224, Ski and Wakeboard Boats,Power,Other,,Fiberglass,Other,,24',"Hesston, PA",Chaparral,,Other,2016,Chaparral,246 SSi,"$78,895",2016
2225, Runabouts,Power,Gas,,Fiberglass,Other,,24',"Dalmatia, PA",Chaparral,,Single Inboard,2013,Chaparral,246 SSi,"$51,999",2013
2226, Bowrider,Power,Gas,,Fiberglass,Other,,24',"Buffalo, NY",Chaparral,,Single Inboard,2011,Chaparral,246 SSi,"$43,500",2011
2227, Runabouts,Power,,,Fiberglass,,,24',"Lackawanna, NY",Chaparral,,Other,2006,Chaparral,246 SSi,"$24,900",2006
2228, Cuddy Cabin,Power,Gas,,Fiberglass,,,24',"Shelton, CT",Chaparrel,,Other,1997,Chaparrel,235,"$9,995",1997
2229, High Performance Boats,Power,Other,,Fiberglass,Other,,24',"Schnectady, NY",Checkmate,,Other,2001,Checkmate,ZT 240,"$24,995",2001
2230, Unspecified,Power,,,Fiberglass,Other,,24',"Conowingo, MD",Checkmate,,Other,2011,Checkmate,Pulsare 2400,"$42,000",2011
2231," Unspecified, Other",Power,Other,,Other,Other,,24',"Pleasantville, NY",Chris - Craft,,Other,1999,Chris - Craft,240 Cuddy,"$12,500",1999
2232, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,24',"Harrisburg, PA",Chris Craft,,Single Inboard,1990,Chris Craft,245 Ltd,"$8,500",1990
2233, Cuddy Cabin,Power,Gas,,Fiberglass,Deep Vee,,24',"Hewitt, NJ",Cobalt,,Other,1993,Cobalt,243,"$15,900",1993
2234, Bowrider,Power,Other,,Fiberglass,Other,,24',"203-775-2253, CT",Cobalt,,Other,2014,Cobalt,24SD WSS  (COMING SOON),Request,2014
2235, Bowrider,Power,Other,,Fiberglass,Other,,24',"203-775-2253, CT",Cobalt,,Other,2018,Cobalt,25SC,"$125,462",2018
2236, Runabouts,Power,Other,,Other,Other,,24',"Tafton, PA",Crownline,,Other,2009,Crownline,BOWRIDER 230 LS,"$33,900",2009
2237, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,24',"Hamburg, NY",Crownline,,Other,2003,Crownline,24,"$24,000",2003
2238, Cruisers,Power,,,Fiberglass,,,24',"Lackawanna, NY",Crownline,,Other,2003,Crownline,242,"$24,900",2003
2239, Cruisers,Power,Gas,,Fiberglass,,,24',"Haverstraw Marina, NY",Crownline,,Other,2000,Crownline,242 CR,"$16,900",2000
2240, Cruisers,Power,Gas,,Fiberglass,Modified Vee,,24',"Port Deposit, MD",Crownline,,Other,2000,Crownline,242 CR,"$16,500",2000
2241, Deck Boats,Power,Gas,,Fiberglass,,,24',"Silver Springs, NY",Crownline,,Other,2018,Crownline,E2,Request,2018
2242, Bowrider,Power,Other,,Other,Other,,24',"Tafton, PA",Crownline,,Other,2017,Crownline,E4,"$76,600",2017
2243, Bowrider,Power,Gas,,Fiberglass,Modified Vee,,24',"Port Deposit, MD",Cruisers Sport Series,,Other,2017,Cruisers Sport Series,278 BR,Request,2017
2244," Walkarounds, Saltwater Fishing",Power,Gas,,Fiberglass,,,24',"Mantua, NJ",Dunkirk,,Other,1996,Dunkirk,24 walk around,"$19,999",1996
2245," Unspecified, Other",Power,Other,,Other,Other,,24',"Sleepy Hollow, NY",Ebbtide,,Other,2002,Ebbtide,2400 Mystique,"$21,000",2002
2246," Unspecified, Other",Power,Gas,,Other,Other,,24',"Stamford, CT",Ebbtide,,Other,2005,Ebbtide,2500 Mystique,"$25,500",2005
2247, Center Consoles,Power,Gas,,Fiberglass,,,24',"Mamaroneck, NY",Edge Water,,Other,2017,Edge Water,245 CC,"$117,900",2017
2248, Saltwater Fishing,Power,Gas,,Fiberglass,Deep Vee,99 year,24',"Westport, CT",Edgewater,,Other,2007,Edgewater,245CC,"$52,500",2007
2249, Pontoon Boats,Power,Gas,,Aluminum,Pontoon,99 year,24',"Grand Island, NY",Harris FloteBote,,Other,2017,Harris FloteBote,Sunliner Series 240,Request,2017
2250," Pontoon Boats, Deck Boats",Power,Gas,,Aluminum,Pontoon,99 year,24',"Grand Island, NY",Harris FloteBote,,Single Outboard,2016,Harris FloteBote,Cruiser 240,"$35,995",2016
2251, Pontoon Boats,Power,Gas,,Aluminum,Other,,24',"Lake Winola, PA",Harris FloteBote,,Single Outboard,1995,Harris FloteBote,240 Royal Heritage,"$4,000",1995
2252, Bowrider,Power,Gas,,Fiberglass,,,24',"Lake George, NY",Formula,,Other,2018,Formula,240 BR,Request,2018
2253, Cuddy Cabin,Power,,,Fiberglass,,,24',"Buffalo, NY",Formula,,Other,1987,Formula,242 SS,"$8,500",1987
2254," Cuddy Cabin, High Performance Boats",Power,Gas,,Fiberglass,,,24',"Grand Island, NY",Formula,,Other,1987,Formula,242 SS,"$5,900",1987
2255," Unspecified, Other",Power,Gas,,Other,Other,,24',"Bayville, NY",Formula,,Other,1985,Formula,242 LS,"$12,995",1985
2256, Bowrider,Power,Other,,Fiberglass,Other,,24',"Morgantown, PA",Four Winns,,Other,2007,Four Winns,240 Horizon,"$29,999",2007
2257, Bowrider,Power,Gas,,Fiberglass,Other,,24',"Mullica Hill, NJ",Four Winns,,Other,2006,Four Winns,240 Horizon Bowrider,"$25,000",2006
2258, Bowrider,Power,Gas,,Fiberglass,Other,,24',"Bristol, PA",Four Winns,,Single Inboard,1998,Four Winns,Horizon 240,"$12,500",1998
2259, Cuddy Cabin,Power,Gas,,Fiberglass,Other,,24',"Bensalem, PA",Four Winns,,Single Inboard,1998,Four Winns,SUNDOWNER 245,"$13,500",1998
2260," Cruisers, Express Cruiser",Power,Gas,,Fiberglass,,,24',"Alexandria Bay, NY",Four Winns,,Other,2003,Four Winns,248 Vista Cruiser,"$17,900",2003
2261, Deck Boats,Power,Gas,,Fiberglass,Modified Vee,,24',"Duncannon, PA",Four Winns,,Other,2012,Four Winns,F224,"$41,995",2012
2262, Center Consoles,Power,Gas,,Fiberglass,Deep Vee,,24',"Quakertown,, PA",Sea Fox,,Single Outboard,2018,Sea Fox,246 Commander,Request,2018
2263," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Deep Vee,99 year,24',"Shelton, CT",Sea Fox,,Single Outboard,2018,Sea Fox,246 Commander,Request,2018
2264," Center Consoles, Saltwater Fishing",Power,Gas,,Fiberglass,Deep Vee,99 year,24',"Cos Cob, CT",Sea Fox,,Single Outboard,2016,Sea Fox,246 Commander,"$68,500",2016
2265, Center Consoles,Power,Gas,,Fiberglass,Deep Vee,,24',"Quakertown,, PA",Sea Fox,,Single Outboard,2018,Sea Fox,249 Avenger,Request,2018
2266, Other,Power,Gas,US-LYGAV118F718,Fiberglass,,,24',"Sea Bright, NJ",Sea Fox,,Other,2018,Sea Fox,249 Avenger,Request,2018
2267, Pontoon Boats,Power,Gas,GEN33734A717,Aluminum,Pontoon,99 year,24',"Clayton, NY",G3,,Other,2017,G3,Elite Diamond 324SS,"$75,495",2017
2268, Pontoon Boats,Power,Gas,GEN03162C313,Aluminum,Pontoon,,24',"Clayton, NY",G3,,Other,2013,G3,x24rs,"$31,900",2013
2269, Center Consoles,Power,Gas,967K516,Fiberglass,Deep Vee,10 year,24',"Bellmore, NY",Glasstream,,Other,2016,Glasstream,240 CC,"$43,500",2016
2270, Bowrider,Power,Gas,,Fiberglass,Modified Vee,10 year,24',"Mamaroneck, NY",Glastron,,Single Outboard,2017,Glastron,GTS 240,Request,2017
2271, Bowrider,Power,Gas,,Fiberglass,Modified Vee,10 year,24',"Mamaroneck, NY",Glastron,,Other,2017,Glastron,GTS 245,Request,2017
2272, Bowrider,Power,Other,,Other,Other,,24',"Conesus, NY",Glastron,,Other,2014,Glastron,GT 245,"$57,000",2014
2273, Express Cruiser,Power,Gas,,Fiberglass,Deep Vee,5 year,24',"Northport, NY",Glastron,,Single Inboard,2004,Glastron,GS 249,"$19,900",2004
2274," Cruisers, Express Cruiser",Power,Gas,,Fiberglass,Deep Vee,5 year,24',"Seaford, NY",Glastron,,Other,2003,Glastron,249,"$15,900",2003
2275," Cuddy Cabin, Express Cruiser",Power,,,Fiberglass,,,24',"Watertown, NY",Glastron,,Other,1995,Glastron,249 SSV,"$10,000",1995
